transID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
DLJO083V5Z87GY,online,Diah Marpaung,M,2012,11M,Rusun Rawa Bebek - Bukit Duri,1,P00058,Flyover Klender,-6.213596,106.90306,7,4/7/2023 16:56,P00102,Kampung Sumur,-6.214412,106.91189,8,4/7/2023 18:54,0
AXBX447N0J63UJ,online,"Drs. Gilda Sinaga, S.Psi",M,1994,,,0,B06277P,Jln.Tebet Barat V,-6.233937,106.8477,0,4/7/2023 17:10,B06674P,Tebet Eco Park Selatan 4,-6.239215,106.8519,4,4/7/2023 18:22,0
PFOQ070Z4D97PK,bni,Bahuwirya Rahayu,M,1981,2F,Rusun Cakung Barat - Pulo Gadung,0,P00258,Tipar Cakung,-6.183387,106.92463,2,4/7/2023 17:00,P00028,Cakung United Tractors,-6.18324,106.92998,3,4/7/2023 18:09,0
AEPW068C3B85CB,dki,Samsul Ramadan,M,1966,M11,Pulo Gebang - Pulo Gadung 2,0,P00174,Perumnas Klender,-6.216689,106.93054,3,4/7/2023 16:15,P00102,Kampung Sumur,-6.214412,106.91189,6,4/7/2023 17:12,3500
VEXR754E5C14SK,dki,Bancar Irawan,M,1999,3B,Rusun Flamboyan - Cengkareng,1,B03041P,Puskesmas Cengkareng,-6.144546,106.72866,4,4/7/2023 16:08,B02808P,Perumahan KFT 1,-6.135093,106.72983,6,4/7/2023 17:05,0
MJFK350Z3D19YR,dki,"Jati Nainggolan, M.TI.",F,1987,8C,Kebayoran Lama - Tanah Abang,0,B00391P,Gandaria City,-6.243912,106.7824,3,4/7/2023 17:39,B02014P,Kompas Gramedia,-6.210472,106.79598,13,4/7/2023 18:36,3500
NGSO714I4Y72TE,dki,Puspa Saptono,F,1984,M2,Pulo Gadung - Monas,1,P00195,Pulo Mas,-6.174736,106.89277,13,4/7/2023 17:31,P00014,Bermis,-6.178203,106.89859,14,4/7/2023 19:04,3500
UDZC529N4V72ND,flazz,"Dr. Zaenab Wulandari, S.Ked",M,1996,12B,Pluit - Senen,0,P00013,Kota,-6.13679,106.8149,17,4/7/2023 16:12,P00146,Pangeran Jayakarta,-6.137611,106.81792,18,4/7/2023 17:10,3500
CFYQ644S3W93UG,emoney,T. Karna Sihombing,F,2001,,,1,P00253,Tegalan,-6.203101,106.85715,11,4/7/2023 17:31,P00297,BNN LRT,-6.245863,106.871143,19,4/7/2023 19:15,3500
IPQG272G8V03XS,flazz,Kalim Namaga,M,1971,9D,Pasar Minggu - Tanah Abang,0,B03153P,RS Medistra,-6.240411,106.83412,25,4/7/2023 17:26,B05931P,YBK,-6.270872,106.8466,39,4/7/2023 18:45,3500
OQPO776Q9L92WA,bni,"dr. Vega Rahimah, S.Pt",M,2003,JAK.117,Tanjung Priok - Tanah Merdeka,1,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,28,4/7/2023 16:34,B05728P,Term. Tj. Priok 1,-6.1098,106.88118,30,4/7/2023 18:10,0
GJUS986M6D42UM,dki,Bajragin Najmudin,M,1986,3H,Jelambar - Kota,1,P00294,Sawah Besar Arah Selatan,-6.157368,106.818661,4,4/7/2023 16:13,,,,,,,
COMT695C5V41MQ,brizzi,Ophelia Firmansyah,M,2000,14,Jakarta International Stadium - Senen,1,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3,4/7/2023 16:43,B06067P,Sunter Muara 1,-6.144331,106.85745,10,4/7/2023 17:36,3500
SROM660D1L73FO,emoney,"Sutan Garda Tampubolon, S.Pd",M,1956,JAK.49,Lebak Bulus - Cipulir,1,B02948P,Pool Taksi Tanah Kusir,-6.254506,106.77741,13,4/7/2023 17:08,B00813P,ITC Cipulir,-6.237701,106.76515,53,4/7/2023 18:46,0
VPZD679C2O92VK,emoney,Marsito Melani,F,2010,7A,Kampung Rambutan - Lebak Bulus,0,B00400P,Gg. Ali,-6.307683,106.87636,2,4/7/2023 16:00,B01857P,Kebagusan Raya,-6.296314,106.82703,18,4/7/2023 17:41,3500
BHKC105Z1X72HX,brizzi,Galur Riyanti,F,1980,JAK.44,Andara - Stasiun Universitas Pancasila,1,B05464P,St. Lenteng Agung 2,-6.331342,106.83467,7,4/7/2023 16:31,B04591P,Sbr. Yayasan Al Azhar Syuhada,-6.326612,106.8207,17,4/7/2023 17:53,0
FMAJ432R8D26LF,brizzi,Bakiman Budiman,F,1981,7Q,Blok M - PGC,0,B03889P,Sbr. Kalibata Square,-6.255574,106.85167,26,4/7/2023 16:35,B02771P,Pertigaan Dewi Sartika,-6.258864,106.864131,29,4/7/2023 17:36,3500
ZSHP954C6N25GP,dki,"R.M. Simon Wastuti, S.T.",F,1995,JAK.20,Cawang UKI - Lubang Buaya,1,B02109P,Lakesgilut TNI AU 2,-6.287858,106.89803,3,4/7/2023 17:23,B04464P,Sbr. SMPN 128,-6.279045,106.88927,9,4/7/2023 18:44,0
QVLX026F2W84LL,brizzi,"Lurhur Prasetya, S.E.I",M,1991,1M,Meruya - Blok M,1,B01947P,Kel. Srengseng,-6.203472,106.75694,29,4/7/2023 16:45,B05411P,SPBU Meruya Ilir,-6.19749,106.75352,34,4/7/2023 18:08,3500
OAQY823Q6Z49IO,brizzi,Darman Puspasari,F,1996,JAK.118,Taman Waduk Papanggo - Kota Tua,1,B04521P,Sbr. Taman BMW,-6.12629,106.85763,26,4/7/2023 16:19,B06076P,Sbr. SDN Sunter Agung 09,-6.127635,106.85913,28,4/7/2023 17:11,0
LTTW310T3H05SF,emoney,Pia Simanjuntak,F,1977,JAK.36,Cilangkap - Cililitan,0,B04333P,Sbr. SDN Dukuh 01,-6.287962,106.87417,31,4/7/2023 17:46,B04211P,Sbr. PLN Kramat Jati,-6.283302,106.8716,35,4/7/2023 19:38,0
LQCA462U1C81HU,bni,"Teguh Wijaya, S.Pt",F,1981,5C,PGC - Juanda,1,P00154,Pasar Jatinegara,-6.215744,106.86632,10,4/7/2023 17:54,P00070,Gelanggang Remaja,-6.235445,106.86795,13,4/7/2023 18:58,3500
WBYC476N2Y16CD,dki,"T. Gangsa Hutasoit, S.IP",M,1985,JAK.27,Pulo Gebang - Rorotan,0,B02280P,Masjid At Taqwa Karang Tengah,-6.151522,106.97204,45,4/7/2023 17:20,B04942P,Simpang KH Abdulloh Karang Tengah 1,-6.147051,106.97188,47,4/7/2023 18:52,0
IKST766C7I58CE,dki,"Dina Zulkarnain, M.M.",M,1991,B11,Summarecon Bekasi - BNN,1,P00297,BNN LRT,-6.245863,106.871143,0,4/7/2023 17:12,P00236,Summarecon Bekasi,-6.225566,107.00281,6,4/7/2023 18:07,3500
NGIN707B1Q43ZT,brizzi,Tgk. Uda Gunarto,F,1996,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,1,B03395P,Pal Batu 3,-6.225075,106.84149,2,4/7/2023 17:14,B04907P,Simpang Kawi Raya,-6.209476,106.83322,11,4/7/2023 18:18,3500
TSJP451R5M39CD,brizzi,Padmi Marpaung,F,1992,4E,Rusun Jatinegara Kaum - Pulo Gadung,1,B02997P,Pulo Gadung,-6.183245,106.90868,0,4/7/2023 17:02,B01620P,Jln. Swadaya Pln,-6.20965,106.90171,9,4/7/2023 18:47,0
GSRB077R7J82GK,dki,"drg. Gawati Uyainah, S.T.",M,1994,JAK.13,,0,B04381P,Sbr. Sekolah Bhineka Tunggal Ika,-6.15058,106.80752,29,4/7/2023 17:33,B02580P,Ps. Asemka,-6.140507,106.81149,38,4/7/2023 18:40,0
VBIO090D9N43DJ,dki,Narji Waskita,M,1985,JIS3,Harmoni - Jakarta International Stadium,0,P00095,JIS,-6.126689,106.85587,0,4/7/2023 16:16,P00097,Juanda,-6.168048,106.83089,11,4/7/2023 17:12,3500
MTZY842T8G11VS,dki,"Dr. Gamanto Winarsih, S.Ked",F,1991,JAK.84,Terminal Kampung Melayu - Kapin Raya,1,B05825P,Univ. Borobudur 2,-6.241463,106.89608,28,4/7/2023 16:44,B00088P,Awab Dalam,-6.224877,106.8696,44,4/7/2023 18:01,0
RGQX753L4A81BR,emoney,Ir. Salwa Yuniar,F,2005,2H,Rusun Jati Rawasari - Senen,0,B06668P,Bengkel Jln. Letjen Suprapto,-6.174721,106.85362,3,4/7/2023 17:17,B03199P,RSPAD 1,-6.176162,106.83987,5,4/7/2023 19:09,0
PCYM554K5J98TH,dki,Umar Pradana,M,2003,JAK.08,Roxy - Benhil,0,B05924P,Yayasan Muhammadiyah 1,-6.197045,106.81442,22,4/7/2023 16:02,B04121P,Sbr. Pam Jaya DKI,-6.203461,106.80803,29,4/7/2023 17:55,0
RAFZ794A4S55PP,online,"Cut Gabriella Haryanti, S.Sos",M,1974,T21,Palem Semi - Bundaran Senayan,0,B00611P,Gelora Bung Karno 1,-6.224642,106.8056,9,4/7/2023 16:47,B00222P,Bundaran Senayan 2,-6.227877,106.80068,12,4/7/2023 18:16,20000
YEYA160V1P83YT,dki,Kariman Rajata,M,1971,8E,Bintaro - Blok M,1,B02940P,Pool Express Tanah Kusir,-6.255345,106.76911,18,4/7/2023 16:22,B01154P,Jln. IKPN Bintaro,-6.25997,106.76787,19,4/7/2023 17:47,3500
VVVF030K0Y71MM,emoney,drg. Gawati Maryadi,M,1992,JAK.23,Senen - Pisangan Baru,0,B06428P,Jln. Galur Sari Barat 2,-6.200101,106.864719,34,4/7/2023 16:59,B06431P,SDN Utan Kayu Selatan 23 Pagi,-6.203858,106.87078,37,4/7/2023 18:56,0
YLLS411Z4C51XT,dki,"Gawati Damanik, S.E.",F,2010,5C,PGC - Juanda,1,P00021,Budi Utomo,-6.166063,106.83906,1,4/7/2023 16:55,P00118,Kramat Sentiong,-6.18798,106.84595,3,4/7/2023 18:25,3500
QSEB565Z9A36VX,emoney,Fathonah Anggraini,M,2006,6M,Stasiun Manggarai - Blok M,1,P00121,Kuningan Timur,-6.234731,106.82902,8,4/7/2023 16:04,P00160,Patra Kuningan,-6.232677,106.832087,9,4/7/2023 17:45,3500
PSLY692H1F41TM,dki,"Dina Halimah, S.Psi",F,1993,JAK.07,Tanah Abang - Grogol via Tawakal,1,B02311P,Masjid Jami Al Hidayah Tomang,-6.171444,106.79616,9,4/7/2023 17:24,B04063P,Sbr. Masjid Jami Baiturrahman Tomang,-6.172505,106.80357,18,4/7/2023 18:51,0
LJQI857X2Y73EQ,dki,Hasna Manullang,F,1977,JAK.22,Dwikora - Penas Kalimalang,0,B02433P,Mess Wirayudha 2,-6.242076,106.88072,11,4/7/2023 17:09,B00234P,Cawang Soetoyo 1,-6.24544,106.87548,16,4/7/2023 18:22,0
MWCC073R0X93GB,dki,"Dasa Hastuti, S.Psi",M,1984,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,0,B06590P,Sbr. Jln. Komplek Yuka,-6.12603,106.91702,18,4/7/2023 17:19,B06604P,Simpang Jln. Pegangsaan Dua,-6.18223,106.9185,40,4/7/2023 18:17,0
VVLS626Z1R79BO,dki,Ghaliyati Prayoga,F,1987,5D,PGC 1 - Ancol,1,P00003,Ancol,-6.127563,106.83039,0,4/7/2023 17:56,P00092,Jembatan Merah,-6.146731,106.83427,3,4/7/2023 19:35,3500
RPSK931D2F89ZN,dki,"Hj. Hesti Wijaya, S.IP",F,1994,JAK.21,Cililitan - Dwikora,0,B03186P,RSAU Dr Esnawan Antariska 2,-6.256569,106.89139,22,4/7/2023 16:38,B02295P,Masjid Darul Huda 1,-6.249332,106.89109,29,4/7/2023 18:11,0
JKWE514A8G99JC,emoney,dr. Gasti Budiyanto,M,1998,5C,PGC - Juanda,1,P00031,Cawang Otista,-6.243607,106.86876,14,4/7/2023 17:40,P00033,Cawang UKI,-6.250309,106.8736,17,4/7/2023 19:21,3500
AAAG491F4U05HS,dki,"Cut Agnes Thamrin, S.Psi",F,1970,JAK.26,Rawamangun - Duren Sawit,0,B05069P,Simpang Persahabatan Raya,-6.206364,106.88575,41,4/7/2023 16:26,B00769P,HKBP Rawamangun,-6.196463,106.88597,45,4/7/2023 17:52,0
AQYC703E8L78YV,dki,Jasmani Sirait,M,1975,,,1,P00001,Adam Malik,-6.236466,106.74786,10,4/7/2023 17:41,P00198,Puri Beta 2,-6.230532,106.72371,11,4/7/2023 18:51,3500
STPM826I7B15WG,flazz,Mumpuni Gunarto,F,1998,10D,Kampung Rambutan - Tanjung Priok,1,P00196,Pulo Mas Bypass,-6.176953,106.876,8,4/7/2023 17:06,P00182,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13,4/7/2023 19:00,3500
VBFB109Q8T61TZ,emoney,"Ir. Yani Sihombing, S.H.",M,1973,12P,St. LRT Pegangsaan Dua - JIS,0,B00168P,Boulevard Inspeksi Kali Sunter,-6.151094,106.88901,8,4/7/2023 16:00,P00240,Sunter Karya,-6.137625,106.87081,11,4/7/2023 17:47,3500
ZXSX488C4J23EA,emoney,"Dt. Murti Salahudin, S.T.",F,2008,JAK.64,Lenteng Agung - Aseli,0,B04217P,Sbr. Polsek Jagakarsa,-6.350808,106.80775,6,4/7/2023 16:26,B05219P,Simpang Warung Sila Rindang,-6.345472,106.81167,10,4/7/2023 17:30,0
WWFN714H2W33RN,bni,R. Yani Ardianto,F,1984,9N,Pinang Ranti - Pramuka,1,P00016,BKN,-6.257751,106.87,0,4/7/2023 16:49,,,,,,,3500
ZTNB521D2X06MJ,emoney,Kawaya Oktaviani,M,2009,1T,Cibubur - Balai Kota,0,B00248P,Cibubur Junction,-6.368735,106.89366,0,4/7/2023 17:58,B03314P,MH Thamrin 2,-6.188238,106.82277,12,4/7/2023 18:50,20000
GWTX749M2W89SN,dki,Karma Narpati,F,1994,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,0,B02333P,Masjid Jami Asy Syakirin,-6.351203,106.80153,7,4/7/2023 16:00,B06847P,Sbr. Gg. Cermai,-6.324671,106.811372,19,4/7/2023 17:00,0
HPZU713Z8Q17US,emoney,Luhung Hutapea,F,1981,1F,Stasiun Palmerah - Bundaran Senayan,1,P00217,Senayan JCC Arah Barat,-6.213906,106.80841,2,4/7/2023 17:21,,,,,,,3500
HNAW010Q2Y23HF,online,Eka Yolanda,M,1998,B21,Bekasi Timur - Cawang,0,P00022,Bulak Kapal 1,-6.250708,107.02395,4,4/7/2023 16:41,B01728P,Jatibening 1,-6.257161,106.94651,12,4/7/2023 18:05,3500
NLWD510T9X99BP,dki,Oliva Saefullah,F,1987,12C,Rusun Waduk Pluit - Penjaringan,1,,Gg. VIII Muara Baru,-6.122869,106.80402,3,4/7/2023 17:53,B03299P,Rusun Waduk Pluit,-6.111456,106.80022,6,4/7/2023 19:35,0
GXXT111J8W75NW,dki,Irfan Damanik,M,1993,14,Jakarta International Stadium - Senen,0,B05556P,Sunter Muara,-6.144072,106.85763,7,4/7/2023 17:59,B03201P,RSPAD 3,-6.175462,106.83922,18,4/7/2023 19:08,3500
XEWC131I4D02YK,flazz,"Tgk. Puput Hartati, S.Psi",F,1982,2F,Rusun Cakung Barat - Pulo Gadung,0,B06188P,SMK Nurul Huda,-6.17684,106.93592,4,4/7/2023 17:07,B03298P,Rusun Tipar Cakung,-6.171493,106.93731,5,4/7/2023 18:14,0
OSDR564X2N36WG,dki,"Tgk. Joko Maryadi, M.Ak",M,1981,13C,Puri Beta - Dukuh Atas,1,P00200,Rawa Barat,-6.238947,106.81624,7,4/7/2023 17:47,P00136,Mayestik,-6.241921,106.79077,10,4/7/2023 19:36,3500
UDHA865J6Z45HE,bni,"Galak Budiman, S.Pt",F,2008,1,Blok M - Kota,1,P00051,Dukuh Atas,-6.205702,106.82223,13,4/7/2023 16:21,P00133,Masjid Agung,-6.236483,106.79845,19,4/7/2023 17:26,3500
BGSI404C6A15NU,dki,"Lasmanto Suwarno, S.Psi",M,1997,JAK.01,Tanjung Priok - Plumpang,0,B01080P,Jln. Gorontalo II,-6.11345,106.88277,5,4/7/2023 17:16,B05308P,SMKN 12,-6.115571,106.88546,18,4/7/2023 19:10,0
UKUY061E7M33WR,brizzi,Drs. Betania Wahyuni,M,2010,JAK.120,JIS - Terminal Muara Angke,1,B01158P,Jln. Industri I,-6.147508,106.83679,27,4/7/2023 17:11,B06082P,BNN Jakarta Utara,-6.132871,106.86411,37,4/7/2023 19:01,0
QYIS379F0C71JN,dki,"Jamalia Zulkarnain, S.Gz",F,1988,4B,Stasiun Manggarai - UI,1,B00105P,Balai Sudirman,-6.227043,106.84742,38,4/7/2023 16:53,B03126P,RS Budi Jaya,-6.218825,106.84519,42,4/7/2023 18:26,3500
RSKO261R5L24PC,brizzi,"Nadine Andriani, S.IP",M,1974,7C,Cibubur - BKN,1,P00016,BKN,-6.257751,106.87,0,4/7/2023 16:04,B00248P,Cibubur Junction,-6.368735,106.89366,2,4/7/2023 17:23,3500
LAKB255U0R64SH,dki,"Ani Wasita, M.Pd",M,2004,8C,Kebayoran Lama - Tanah Abang,0,B03266P,Rusun Benhil,-6.201418,106.80789,16,4/7/2023 16:28,P00083,Jak Lingko Tanah Abang,-6.185496,106.81105,29,4/7/2023 18:25,3500
HZIF815J8W43JY,dki,dr. Raharja Prastuti,M,1991,JAK.85,Bintara - Cipinang Indah,0,B04542P,Sbr. TDP,-6.245574,106.90948,35,4/7/2023 17:14,B00283P,CPI Belakang 2,-6.237257,106.89416,43,4/7/2023 18:28,0
HKEF472M2T58EE,online,Wirda Yuliarti,M,1990,5,Matraman Baru - Ancol,1,P00224,Slamet Riyadi,-6.208533,106.85929,13,4/7/2023 16:25,,,,,,,3500
LOSQ450R6F80SQ,dki,"KH. Argono Nashiruddin, S.Gz",M,1988,11N,Rusun Cipinang Muara - Jatinegara,1,B02604P,Ps. Enjo 2,-6.214775,106.87785,2,4/7/2023 17:44,B03678P,Sbr. Jln. Cipinang Jaya,-6.214238,106.88701,5,4/7/2023 19:44,0
KNPU376F8Q27WR,dki,"drg. Usyi Halimah, S.E.",F,2004,JAK.10,Tanah Abang - Kota,0,B05450P,St. Jayakarta 2,-6.140453,106.82291,31,4/7/2023 16:46,B04385P,Sbr. Sekolah Fajar Sion,-6.138169,106.81723,33,4/7/2023 18:33,0
QTEX729K6Q52EH,dki,Gatra Rahayu,M,1946,6V,Ragunan - Gelora Bung Karno,1,P00133,Masjid Agung,-6.236483,106.79845,2,4/7/2023 17:11,P00259,Tirtayasa,-6.239207,106.80777,4,4/7/2023 18:29,3500
VTRT862Q1O71QO,brizzi,drg. Tantri Situmorang,F,1983,12,Tanjung Priok - Pluit,0,P00170,Penjaringan,-6.126306,106.79203,17,4/7/2023 16:45,P00181,Pluit,-6.115795,106.79037,18,4/7/2023 18:44,3500
NZWV275I0O16VP,online,"Elvin Saragih, S.Ked",F,1991,JAK.36,Cilangkap - Cililitan,0,B04290P,Sbr. RS Moh Ridwan Meuraksa,-6.294767,106.88167,26,4/7/2023 16:58,B00914P,Jln. Batu Tumbuh,-6.272596,106.86722,46,4/7/2023 18:20,0
XTMQ899L9P01XA,emoney,Elvina Hardiansyah,F,1991,2E,Rusun Rawa Bebek - Kodamar,0,B00131P,Bermis 2,-6.178353,106.89841,26,4/7/2023 16:02,B03003P,Pulo Mas 2,-6.174677,106.892419,28,4/7/2023 17:47,0
OPTE295V9O52ZM,emoney,"KH. Cager Najmudin, S.IP",M,1976,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,0,B02378P,Masjid Raya Al Musyawarah Kelapa Gading 2,-6.155338,106.90963,33,4/7/2023 17:14,B06604P,Simpang Jln. Pegangsaan Dua,-6.18223,106.9185,40,4/7/2023 18:40,0
PGOX052K4X72OY,dki,"Baktianto Suartini, S.I.Kom",M,2002,JAK.14,Tanah Abang - Meruya,0,B04661P,Sekolah Tarsisius 2,-6.199502,106.7824,35,4/7/2023 16:42,B03247P,Ruko Meruya Ilir,-6.197437,106.75067,57,4/7/2023 17:55,0
FMXM539F1G04LY,emoney,Keisha Prayoga,F,1982,JAK.20,Cawang UKI - Lubang Buaya,1,B06798P,Jln. Gorda,-6.289593,106.89598,5,4/7/2023 17:37,B05750P,TK Angkasa 5,-6.261783,106.88613,28,4/7/2023 19:12,0
VFQJ066X3U02YU,dki,Gangsar Siregar,M,1996,2A,Pulo Gadung - Rawa Buaya via Balai Kota,0,P00176,Petojo,-6.169984,106.81698,15,4/7/2023 16:29,P00087,Jelambar,-6.166548,106.78651,18,4/7/2023 17:20,3500
TXEG452Y5U10IF,flazz,"Harjaya Lazuardi, S.E.",F,1973,JAK.07,Tanah Abang - Grogol via Tawakal,0,B05604P,Taman Juang 2,-6.179604,106.80554,26,4/7/2023 16:09,B04055P,Sbr. Masjid Jami Al Hidayah Tomang,-6.171452,106.79612,43,4/7/2023 17:56,0
IFMN223N7K91UK,flazz,"Dr. Ilyas Lestari, M.Ak",F,1991,JAK.41,Kampung Melayu - Pulo Gadung,1,B00444P,Gg. Gading II Pisangan Timur,-6.205063,106.88175,19,4/7/2023 16:12,B01732P,Jatinegara Timur,-6.220486,106.86825,35,4/7/2023 17:18,0
BYJP336O8K90OY,online,"Cahyono Firmansyah, S.Pd",M,1992,M10,PGC 2 - Tanjung Priok,0,P00168,Penas Kalimalang,-6.23907,106.878,4,4/7/2023 16:10,P00035,Cempaka Mas,-6.165888,106.8792,14,4/7/2023 17:55,3500
FFCL515X4G05FM,emoney,"Dr. Laswi Usamah, S.Ked",F,1959,7Q,Blok M - PGC,0,B01510P,Jln. Poncol Jaya 2,-6.239441,106.81883,9,4/7/2023 17:40,B02878P,PLN Duren Tiga 2,-6.254234,106.83445,19,4/7/2023 19:11,3500
GRST189J7Y40IT,emoney,Niyaga Habibi,F,2006,JAK.86,Term. Rawamangun - Term. Manggarai,0,B06542P,Sbr. RPTRA Pesona Manggarai,-6.213105,106.85284,24,4/7/2023 16:20,B06543P,St. Manggarai,-6.210961,106.85129,25,4/7/2023 17:17,0
JZPQ362W9Z46IC,brizzi,Widya Nuraini,F,1994,M3,Kalideres - Bundaran HI via Veteran,0,P00208,RS Sumber Waras,-6.166294,106.79675,5,4/7/2023 17:44,P00087,Jelambar,-6.166548,106.78651,7,4/7/2023 18:40,3500
BHIP649D5V65KI,emoney,Putu Sihombing,M,1995,8A,Jelambar - Juanda,1,P00209,RS Tarakan,-6.171146,106.81011,3,4/7/2023 17:27,P00087,Jelambar,-6.166548,106.78651,6,4/7/2023 19:19,3500
KUHX689H8Q34PC,dki,"H. Yahya Handayani, S.I.Kom",F,1994,1E,Pondok Labu - Blok M,1,B01001P,Jln. Cilandak V,-6.287313,106.79558,14,4/7/2023 17:11,B02538P,One Belpark 1,-6.304695,106.79445,18,4/7/2023 18:45,3500
BONO883W3J29DV,dki,Nasab Megantara,F,1997,3A,Rusun Pesakih - Kalideres,0,B03286P,Rusun Pesakih,-6.161468,106.71698,0,4/7/2023 16:17,B01798P,Kalideres 1,-6.154249,106.70544,5,4/7/2023 17:38,0
ONFH062F2Q38RK,bni,Estiawan Hastuti,M,2008,M7B,BKN - Blok M,0,P00177,PGC 1,-6.262494,106.86635,1,4/7/2023 16:07,B06577P,Blok M Jalur 2,-6.243369,106.80188,24,4/7/2023 17:35,
PIHJ920P0A69EH,emoney,Elisa Samosir,F,1996,5D,PGC 1 - Ancol,0,P00092,Jembatan Merah,-6.146731,106.83427,17,4/7/2023 17:39,P00076,Gunung Sahari Mangga Dua,-6.136817,106.83237,18,4/7/2023 18:30,3500
ACEV001P0M61GK,online,Luwar Prabowo,M,1966,JAK.07,Tanah Abang - Grogol via Tawakal,1,B01787P,JPO Blok G,-6.188861,106.81135,30,4/7/2023 17:27,P00083,Jak Lingko Tanah Abang,-6.185496,106.81105,31,4/7/2023 18:37,0
RFWM984L7I63IL,dki,Hafshah Laksmiwati,F,1999,1M,Meruya - Blok M,1,B00856P,Jln. Anggrek Srengseng,-6.19818,106.75616,31,4/7/2023 17:17,B03261P,Ruko Taman Kb. Jeruk,-6.197388,106.74818,37,4/7/2023 18:53,3500
GNPJ200W1S98JT,dki,Darimin Mardhiyah,F,1981,2E,Rusun Rawa Bebek - Kodamar,1,B01807P,Kampung Padaengan 2,-6.189465,106.93484,11,4/7/2023 16:35,B00082P,At Thahiriah 2,-6.210011,106.93809,20,4/7/2023 17:43,0
PUQB553P8Q06XL,online,Balapati Gunarto,M,1977,9F,Rusun Tambora - Pluit,1,P00090,Jembatan Dua,-6.143279,106.79352,3,4/7/2023 16:12,B03295P,Rusun Tambora,-6.147327,106.798676,4,4/7/2023 17:57,0
TFWK951J2W83OD,online,Cahyono Mustofa,M,1984,11Q,Kampung Melayu - Pulo Gebang via BKT,0,B00198P,Budhaya Santo Agustinus,-6.220866,106.92346,7,4/7/2023 16:23,P00015,Bidara Cina,-6.229724,106.86721,27,4/7/2023 18:16,3500
MDQW245L9J14QL,dki,Aurora Nasyiah,M,1991,M4,Pulo Gadung 2 - Dukuh Atas 2,0,P00269,Velodrome,-6.193468,106.8883,5,4/7/2023 16:21,P00077,Halimun,-6.205137,106.83338,14,4/7/2023 17:57,3500
CCGV355Y5V93UF,dki,Zelda Kuswoyo,M,2002,9H,Blok M - Universitas Indonesia,0,B02017P,Komplek Al,-6.297741,106.84018,11,4/7/2023 16:59,B02300P,Masjid Guru Amin,-6.258186,106.8434,26,4/7/2023 18:27,3500
PRGV287H7I95FP,flazz,"Azalea Setiawan, S.E.",F,2007,10D,Kampung Rambutan - Tanjung Priok,1,P00101,Kampung Rambutan,-6.309885,106.88216,0,4/7/2023 16:28,P00241,Sunter Kelapa Gading Arah Utara,-6.1429,106.89076,12,4/7/2023 17:39,3500
CPIU356Q1B77VP,dki,"Dr. Luthfi Sihombing, M.TI.",F,1998,13D,Puri Beta - Ragunan,0,P00259,Tirtayasa,-6.239207,106.80777,10,4/7/2023 17:09,P00085,Jati Padang,-6.285431,106.82626,19,4/7/2023 18:56,3500
YWAV433H2C23IK,dki,"dr. Laswi Pranowo, S.Pd",F,2012,5N,Kampung Melayu - Ragunan,0,B00358P,Flyover Kampung Melayu,-6.22506,106.86483,2,4/7/2023 17:41,B03197P,RSIA Kemang,-6.285839,106.8188,36,4/7/2023 18:44,3500
AGPU982W6Y53HO,emoney,Kambali Mandasari,F,2005,JAK.49,Lebak Bulus - Cipulir,1,B02940P,Pool Express Tanah Kusir,-6.255345,106.76911,16,4/7/2023 17:31,B00147P,Bintaro Park VIew,-6.257977,106.75969,25,4/7/2023 19:08,0
HUSF722G4Y88VY,emoney,Viktor Zulkarnain,M,1987,JIS3,Harmoni - Jakarta International Stadium,0,B02734P,Pengadilan Negeri Jakut,-6.126807,106.85654,3,4/7/2023 16:13,B03882P,Sbr. Jembatan Item,-6.130197,106.85511,4,4/7/2023 17:25,3500
GLKH884I9D55ZL,dki,Ibun Kusumo,F,1967,9D,Pasar Minggu - Tanah Abang,1,B00694P,Grand Sahid,-6.210975,106.82059,31,4/7/2023 16:00,B01639P,Jln. Taman Kb. Sirih,-6.182295,106.81661,41,4/7/2023 17:39,3500
LASU566X2M04AG,flazz,"H. Aswani Megantara, M.M.",M,2008,1P,Senen - Blok M,0,B05775P,Tosari 3,-6.200069,106.82335,20,4/7/2023 17:20,B05637P,Taman Patimura,-6.232872,106.80081,30,4/7/2023 18:20,3500
BLRM829H5B80TN,brizzi,Murti Kurniawan,M,2010,6T,Pasar Minggu - Velbak,1,B06740P,Sbr. Jln. Barito II,-6.248808,106.795903,7,4/7/2023 17:54,B06746P,Sbr. Jln. Pangeran Antasari,-6.275209,106.808665,17,4/7/2023 19:05,3500
